Quantity,Name,Simple Name,Set,Card Number,Set Code,Printing,Condition,Language,Rarity,Product ID,SKU
1,Demonic Tutor (JP Alternate Art),Demonic Tutor,Strixhaven: Mystical Archives,90,STA,Normal,Near Mint,English,Mythic,233497,4882028
1,Counterspell (JP Alternate Art),Counterspell,Strixhaven: Mystical Archives,78,STA,Normal,Near Mint,English,Rare,235165,4881603
1,Natural Order (JP Alternate Art),Natural Order,Strixhaven: Mystical Archives,117,STA,Normal,Near Mint,English,Mythic,235508,4883503
1,Dark Ritual (JP Alternate Art),Dark Ritual,Strixhaven: Mystical Archives,89,STA,Normal,Near Mint,English,Rare,235249,4881823
1,Approach of the Second Sun (JP Alternate Art),Approach of the Second Sun,Strixhaven: Mystical Archives,64,STA,Normal,Near Mint,English,Mythic,235469,4881163
1,Faithless Looting (JP Alternate Art),Faithless Looting,Strixhaven: Mystical Archives,101,STA,Normal,Near Mint,English,Rare,235483,4882528
1,Faithless Looting (JP Alternate Art),Faithless Looting,Strixhaven: Mystical Archives,101,STA,Normal,Near Mint,English,Rare,235483,4882528
1,Crux of Fate (JP Alternate Art),Crux of Fate,Strixhaven: Mystical Archives,88,STA,Normal,Near Mint,English,Mythic,235404,4881663
1,Mizzix's Mastery (JP Alternate Art) (Foil Etched),Mizzix's Mastery,Strixhaven: Mystical Archives,106,STA,Foil,Near Mint,English,Mythic,235503,4846727
1,Blue Sun's Zenith (JP Alternate Art),Blue Sun's Zenith,Strixhaven: Mystical Archives,75,STA,Normal,Near Mint,English,Mythic,235185,4881233
1,Growth Spiral (JP Alternate Art),Growth Spiral,Strixhaven: Mystical Archives,124,STA,Normal,Near Mint,English,Rare,235261,4882773
2,Grapeshot (JP Alternate Art),Grapeshot,Strixhaven: Mystical Archives,102,STA,Normal,Near Mint,English,Rare,235516,4882713
1,Channel (JP Alternate Art),Channel,Strixhaven: Mystical Archives,113,STA,Normal,Near Mint,English,Mythic,235138,4881353
1,Inquisition of Kozilek (JP Alternate Art),Inquisition of Kozilek,Strixhaven: Mystical Archives,94,STA,Normal,Near Mint,English,Rare,235379,4883013
1,Increasing Vengeance (JP Alternate Art) (Foil Etched),Increasing Vengeance,Strixhaven: Mystical Archives,103,STA,Foil,Near Mint,English,Mythic,235616,4853972
1,Sign in Blood (JP Alternate Art),Sign in Blood,Strixhaven: Mystical Archives,95,STA,Normal,Near Mint,English,Rare,235181,4884008
1,Mind's Desire (JP Alternate Art) (Foil Etched),Mind's Desire,Strixhaven: Mystical Archives,80,STA,Foil,Near Mint,English,Mythic,235327,4843832
1,Primal Command (JP Alternate Art),Primal Command,Strixhaven: Mystical Archives,118,STA,Normal,Near Mint,English,Mythic,235410,4883688
1,Krosan Grip (JP Alternate Art),Krosan Grip,Strixhaven: Mystical Archives,116,STA,Normal,Near Mint,English,Rare,235215,4883073
1,Weather the Storm (JP Alternate Art),Weather the Storm,Strixhaven: Mystical Archives,121,STA,Normal,Near Mint,English,Rare,235266,4884808
1,Weather the Storm (JP Alternate Art),Weather the Storm,Strixhaven: Mystical Archives,121,STA,Normal,Near Mint,English,Rare,235266,4884808
2,Despark (JP Alternate Art),Despark,Strixhaven: Mystical Archives,122,STA,Normal,Near Mint,English,Rare,235295,4882088
